month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
3,บางรัก,199.0,5.0,44.0,0.0,0.0,882.0,682.0,0.0,0.0,0.0,740.0,0.0,869.0,0.0,0.0,4.0,0.0
3,บางเขน,1117.0,1122.0,0.0,66.0,1.0,1122.0,250.0,1.0,130.0,101.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0
3,บางแค,443.0,36.0,0.0,119.0,97.0,706.0,30.0,1.0,39.0,216.0,159.0,0.0,182.0,0.0,18.0,164.0,0.0
3,บึงกุ่ม,811.0,74.0,0.0,19.0,150.0,755.0,1.0,2.0,15.0,129.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0
3,ปทุมวัน,941.0,0.0,4.0,0.0,0.0,1059.0,0.0,213.0,2.0,41.0,557.0,0.0,608.0,2.0,0.0,1.0,0.0
3,ประเวศ,1256.0,1280.0,0.0,13.0,38.0,797.0,171.0,8.0,141.0,957.0,0.0,0.0,0.0,0.0,13.0,90.0,1.0
3,ป้อมปราบศัตรูพ่าย,10.0,0.0,1.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,37.0,0.0,22.0,0.0,38.0,2.0,0.0
3,พญาไท,855.0,840.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,110.0,0.0,43.0,0.0,0.0,6.0,6.0
3,พระนคร,122.0,0.0,1.0,0.0,0.0,1140.0,0.0,1.0,0.0,0.0,4.0,211.0,12.0,0.0,0.0,42.0,0.0
3,พระโขนง,796.0,796.0,0.0,409.0,369.0,0.0,37.0,3.0,651.0,121.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3,ภาษีเจริญ,373.0,5.0,0.0,2.0,24.0,669.0,6.0,0.0,0.0,26.0,7.0,0.0,2.0,0.0,0.0,68.0,0.0
3,มีนบุรี,558.0,558.0,4.0,217.0,181.0,10.0,0.0,4.0,503.0,443.0,0.0,4.0,0.0,0.0,0.0,236.0,0.0
3,ยานนาวา,656.0,65.0,0.0,12.0,284.0,504.0,0.0,0.0,26.0,113.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0
3,ราชเทวี,1159.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,0.0,0.0,367.0,1.0,379.0,0.0,0.0,279.0,0.0
3,ราษฎร์บูรณะ,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,371.0,0.0,1.0,0.0,94.0,0.0
3,ลาดกระบัง,462.0,11.0,0.0,0.0,602.0,8.0,6.0,1.0,0.0,526.0,0.0,899.0,0.0,0.0,109.0,111.0,0.0
3,ลาดพร้าว,757.0,770.0,0.0,0.0,659.0,24.0,581.0,4.0,8.0,324.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,วังทองหลาง,857.0,777.0,2.0,0.0,175.0,144.0,14.0,0.0,139.0,145.0,19.0,0.0,23.0,0.0,0.0,0.0,58.0
3,วัฒนา,1284.0,1117.0,0.0,0.0,29.0,904.0,6.0,3.0,0.0,3.0,382.0,0.0,358.0,0.0,0.0,0.0,1.0
3,สวนหลวง,1055.0,694.0,0.0,25.0,174.0,0.0,3.0,2.0,559.0,173.0,16.0,0.0,9.0,0.0,0.0,389.0,0.0
3,สะพานสูง,559.0,559.0,9.0,333.0,154.0,68.0,8.0,0.0,473.0,319.0,17.0,0.0,20.0,0.0,0.0,13.0,0.0
3,สัมพันธวงศ์,0.0,0.0,9.0,0.0,141.0,250.0,0.0,1.0,0.0,112.0,120.0,0.0,95.0,0.0,0.0,2.0,0.0
3,สาทร,370.0,19.0,0.0,0.0,0.0,783.0,1.0,0.0,0.0,0.0,119.0,0.0,139.0,0.0,0.0,6.0,0.0
3,สายไหม,474.0,688.0,0.0,157.0,377.0,41.0,627.0,1.0,209.0,436.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
3,หนองจอก,21.0,0.0,0.0,536.0,1.0,3.0,0.0,0.0,533.0,44.0,0.0,577.0,0.0,0.0,34.0,0.0,0.0
3,หนองแขม,528.0,385.0,2.0,22.0,188.0,458.0,46.0,0.0,3.0,432.0,2.0,0.0,26.0,0.0,5.0,0.0,0.0
3,หลักสี่,579.0,721.0,0.0,6.0,217.0,471.0,1.0,0.0,27.0,286.0,75.0,0.0,123.0,0.0,0.0,155.0,0.0
3,ห้วยขวาง,816.0,418.0,0.0,0.0,8.0,43.0,2.0,0.0,0.0,2.0,437.0,0.0,358.0,0.0,0.0,38.0,0.0
4,คลองสาน,353.0,290.0,0.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,232.0,0.0,251.0,10.0,32.0,0.0,0.0
4,คลองสามวา,649.0,668.0,0.0,36.0,117.0,528.0,0.0,0.0,19.0,416.0,1.0,1.0,1.0,0.0,0.0,111.0,0.0
4,คลองเตย,651.0,0.0,0.0,0.0,0.0,1042.0,0.0,0.0,0.0,99.0,420.0,0.0,408.0,0.0,0.0,186.0,0.0
4,คันนายาว,373.0,373.0,0.0,12.0,156.0,132.0,18.0,0.0,33.0,161.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
4,จตุจักร,1651.0,368.0,0.0,484.0,20.0,1289.0,156.0,1.0,668.0,116.0,71.0,2.0,93.0,0.0,0.0,1060.0,1.0
4,จอมทอง,37.0,1.0,0.0,453.0,391.0,205.0,4.0,1.0,451.0,399.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0
4,ดอนเมือง,28.0,399.0,0.0,0.0,149.0,343.0,107.0,0.0,0.0,240.0,30.0,0.0,19.0,0.0,0.0,219.0,0.0
4,ดินแดง,1055.0,953.0,1.0,0.0,26.0,937.0,10.0,2.0,4.0,16.0,7.0,26.0,0.0,0.0,0.0,31.0,0.0
